"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"1","PH050501000",13.286,123.84,6.3539526376314,4.26439774337678,366.089099021504,0,0,0,2.55018670691112,1.71153470262491,0,0,0,0,0,0,0,0
"2","PH050502000",13.14,123.63,6.65274759824745,4.46493127399158,347.501895472589,0,0,0,2.6780682074379,1.79736121304557,0,0,0,0,0,0,0,0
"3","PH050503000",13.115,123.68,6.74122566713597,4.52431252827917,345.189189635881,0,0,0,2.70237073491195,1.81367163416909,0,0,0,0,0,0,0,0
"4","PH050504000",13.173,123.57,6.53850600666672,4.388259064877,350.73167119515,0,0,0,2.64598280715122,1.77582738734981,0,0,0,0,0,0,0,0
"5","PH050505000",13.049,123.58,6.87027285736457,4.61092138078159,337.01799097982,0,0,0,2.76113642560302,1.85311169503559,0,0,0,0,0,0,0,0
"6","PH050506000",13.099,123.75,6.81287544416829,4.57239962695858,344.210128625835,0,0,0,2.71837178029932,1.82441059080491,0,0,0,0,0,0,0,0
"7","PH050507000",13.249,123.37,6.24063601950528,4.18834632181562,358.628214433098,0,0,0,2.56796994211578,1.72346975980925,0,0,0,0,0,0,0,0
"8","PH050508000",13.184,123.49,6.46916677108946,4.34172266516071,351.567376540871,0,0,0,2.6325804223563,1.76683249822571,0,0,0,0,0,0,0,0
"9","PH050509000",13.304,123.73,6.27459594844455,4.21113822043258,366.658147039746,0,0,0,2.53380279593396,1.70053878921742,0,0,0,0,0,0,0,0
"10","PH050510000",13.383,123.65,6.05362455812524,4.06283527390956,374.639083703728,0,0,0,2.46467163081349,1.65414203410301,0,0,0,0,0,0,0,0
"11","PH050511000",13.086,123.87,6.88929111167278,4.6236853098475,344.529528987899,0,0,0,2.7307845466063,1.83274130644718,0,0,0,0,0,0,0,0
"12","PH050512000",13.167,123.4,6.46041212582108,4.33584706430945,349.49817723361,0,0,0,2.64291421219249,1.77376792764596,0,0,0,0,0,0,0,0
"13","PH050513000",13.063,123.46,6.76442562289672,4.53988296838706,338.011998994787,0,0,0,2.7423058782054,1.84047374376202,0,0,0,0,0,0,0,0
"14","PH050514000",13.324,123.49,6.12507130873271,4.11078611324343,367.144394583962,0,0,0,2.5093843185807,1.68415054938302,0,0,0,0,0,0,0,0
"15","PH050515000",13.234,124.06,6.53237495433049,4.38414426465133,364.417617635733,0,0,0,2.59234104366989,1.7398262038053,0,0,0,0,0,0,0,0
"16","PH050516000",13.244,123.75,6.43233393411226,4.3170026403438,360.247926056864,0,0,0,2.58666480095857,1.73601664493864,0,0,0,0,0,0,0,0
"17","PH050517000",13.333,123.69,6.18901106294132,4.15369869996062,369.454184158942,0,0,0,2.5080999634757,1.68328856609107,0,0,0,0,0,0,0,0
"18","PH050518000",13.462,123.61,5.85377098510532,3.92870535913109,383.106545889032,0,0,0,2.39794902037885,1.60936175864352,0,0,0,0,0,0,0,0
"19","PH051601000",13.99,122.97,4.51513237133259,3.03029018210241,443.433242649166,0,0,0,1.96915363792899,1.32157962277114,0,0,0,0,0,0,0,0
"20","PH051602000",14.268,122.49,3.88113954035421,2.60479163782162,477.327546729686,0,0,0,1.75034144353584,1.17472580103076,0,0,0,0,0,0,0,0
