"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"1","PH050501000",13.286,123.84,23.7267386203255,15.9239856512251,161.395027151591,900,360,0,3.48744473448122,2.34056693589344,900,360,540,0,0,0,0,0
"2","PH050502000",13.14,123.63,22.8139502003699,15.3113759734026,169.921124445884,900,180,0,3.36377797153859,2.25756910841516,900,180,360,0,0,0,0,0
"3","PH050503000",13.115,123.68,22.4254750753785,15.0506544130057,173.934082093596,900,180,0,3.33587068117017,2.23883938333568,900,180,360,0,0,0,0,0
"4","PH050504000",13.173,123.57,23.3070644698768,15.6423251475683,164.944993963619,900,180,0,3.3999811286275,2.2818665292802,900,180,540,0,0,0,0,0
"5","PH050505000",13.049,123.58,21.9747649766316,14.7481644138467,178.699419289067,720,0,0,3.28164089919629,2.20244355650758,720,0,360,0,0,0,0,0
"6","PH050506000",13.099,123.75,22.065833894277,14.8092844928034,177.723585853285,900,0,0,3.31463394791469,2.22458654222462,900,0,360,0,0,0,0,0
"7","PH050507000",13.249,123.37,24.4796968648675,16.4293267549446,153.625383287492,900,180,0,3.48665328345761,2.3400357607098,900,180,540,0,0,0,0,0
"8","PH050508000",13.184,123.49,23.5802873096541,15.8256961809759,162.245379408463,1080,180,0,3.4163307730476,2.29283944499839,1080,180,540,0,0,0,0,0
"9","PH050509000",13.304,123.73,24.2969417409234,16.3066723093446,155.332375995394,900,360,0,3.51475406482036,2.35889534551702,900,360,720,0,0,0,0,0
"10","PH050510000",13.383,123.65,25.4987197516242,17.1132347326337,144.3268086485,1080,360,0,3.59926300594645,2.41561275566876,1080,360,720,0,0,0,0,0
"11","PH050511000",13.086,123.87,21.554160540283,14.4658795572369,183.297849410289,900,0,0,3.29115637755022,2.20882978359075,900,0,360,0,0,0,0,0
"12","PH050512000",13.167,123.4,23.5058571231078,15.7757430356428,162.982535896527,900,180,0,3.40619542335206,2.28603719688058,900,180,540,0,0,0,0,0
