fpr,tpr,thresholds,auc
0.0,0.0,1.9429701461159117,0.788979721166033
0.0033333333333333335,0.0,0.9429701461159117,0.788979721166033
0.0033333333333333335,0.053231939163498096,0.8898743073602788,0.788979721166033
0.006666666666666667,0.053231939163498096,0.8895845127290781,0.788979721166033
0.006666666666666667,0.10646387832699619,0.7967333258878996,0.788979721166033
0.013333333333333334,0.10646387832699619,0.7890508925941633,0.788979721166033
0.013333333333333334,0.14068441064638784,0.7632696612170724,0.788979721166033
0.016666666666666666,0.14068441064638784,0.7630250405753392,0.788979721166033
0.016666666666666666,0.17110266159695817,0.7494732229458781,0.788979721166033
0.023333333333333334,0.17110266159695817,0.7449221973671682,0.788979721166033
0.023333333333333334,0.19011406844106463,0.7238332127653897,0.788979721166033
0.03,0.19011406844106463,0.7199894799087556,0.788979721166033
0.03,0.21673003802281368,0.7107835664941428,0.788979721166033
0.03666666666666667,0.21673003802281368,0.7088253964690506,0.788979721166033
0.03666666666666667,0.23193916349809887,0.703286562157186,0.788979721166033
0.04,0.23193916349809887,0.6997696401159528,0.788979721166033
0.04,0.2623574144486692,0.6927767427418264,0.788979721166033
0.05,0.2623574144486692,0.6887942764843984,0.788979721166033
0.05,0.27756653992395436,0.6844070847843853,0.788979721166033
0.05333333333333334,0.27756653992395436,0.6833010710114559,0.788979721166033
0.05333333333333334,0.2813688212927757,0.6820945031141038,0.788979721166033
0.07666666666666666,0.2813688212927757,0.6679592772279144,0.788979721166033
0.07666666666666666,0.28517110266159695,0.667279671682672,0.788979721166033
0.08,0.28517110266159695,0.6660292131103868,0.788979721166033
0.08,0.30798479087452474,0.6571900287659882,0.788979721166033
0.08333333333333333,0.30798479087452474,0.6539385424709704,0.788979721166033
0.08333333333333333,0.3231939163498099,0.6491886569455981,0.788979721166033
0.08666666666666667,0.3231939163498099,0.6463201679996989,0.788979721166033
0.08666666666666667,0.33840304182509506,0.6366360638167482,0.788979721166033
0.09,0.33840304182509506,0.6360655936412793,0.788979721166033
0.09,0.3574144486692015,0.6215519213159774,0.788979721166033
0.09333333333333334,0.3612167300380228,0.6197418214048998,0.788979721166033
0.09333333333333334,0.376425855513308,0.6152622071646001,0.788979721166033
0.09666666666666666,0.376425855513308,0.614428593181361,0.788979721166033
0.09666666666666666,0.38783269961977185,0.5950504910034283,0.788979721166033
0.1,0.38783269961977185,0.59420032217057,0.788979721166033
0.1,0.39543726235741444,0.5908606034448022,0.788979721166033
0.10333333333333333,0.39543726235741444,0.5908106883807632,0.788979721166033
0.10333333333333333,0.40304182509505704,0.5860587618826397,0.788979721166033
0.11,0.40304182509505704,0.5852794677098861,0.788979721166033
0.11,0.4068441064638783,0.5841672395768328,0.788979721166033
0.11666666666666667,0.4068441064638783,0.5814436942494331,0.788979721166033
0.11666666666666667,0.4144486692015209,0.579992656843287,0.788979721166033
0.12,0.4144486692015209,0.5768224779094653,0.788979721166033
0.12,0.44106463878326996,0.5679851331987446,0.788979721166033
0.12666666666666668,0.44106463878326996,0.5659393235639638,0.788979721166033
0.12666666666666668,0.4524714828897338,0.5597351751139311,0.788979721166033
0.13333333333333333,0.4524714828897338,0.5565101051284439,0.788979721166033
0.13333333333333333,0.45627376425855515,0.5541508061901381,0.788979721166033
0.13666666666666666,0.45627376425855515,0.553648366443446,0.788979721166033
0.13666666666666666,0.46387832699619774,0.550927063881514,0.788979721166033
0.14333333333333334,0.46387832699619774,0.5466875301998424,0.788979721166033
0.14333333333333334,0.4752851711026616,0.5379410908382953,0.788979721166033
0.15,0.4752851711026616,0.5336316475221435,0.788979721166033
0.15,0.4828897338403042,0.528041422145298,0.788979721166033
0.15333333333333332,0.4828897338403042,0.5279737351923136,0.788979721166033
0.15333333333333332,0.49809885931558934,0.521008271199744,0.788979721166033
0.16333333333333333,0.49809885931558934,0.5173796761169938,0.788979721166033
0.16333333333333333,0.5019011406844106,0.516888414194703,0.788979721166033
0.16666666666666666,0.5019011406844106,0.5162548431673989,0.788979721166033
0.16666666666666666,0.5095057034220533,0.5149428003869627,0.788979721166033
0.17,0.5095057034220533,0.5144863726546602,0.788979721166033
0.17,0.5247148288973384,0.5066393047697804,0.788979721166033
0.18333333333333332,0.5247148288973384,0.5042290607393008,0.788979721166033
0.18333333333333332,0.5361216730038023,0.4997068295475359,0.788979721166033
0.18666666666666668,0.5361216730038023,0.4995933334519115,0.788979721166033
0.18666666666666668,0.5513307984790875,0.4963862781330702,0.788979721166033
0.19333333333333333,0.5513307984790875,0.4948713818411675,0.788979721166033
0.19333333333333333,0.55893536121673,0.49053469944230216,0.788979721166033
0.2,0.55893536121673,0.4902036023679623,0.788979721166033
0.2,0.5627376425855514,0.48963824601608813,0.788979721166033
0.20333333333333334,0.5627376425855514,0.48730393199139,0.788979721166033
