,year,actual,predicted
1,2016,2,1
10,2016,1,1
19,2016,2,2
24,2016,2,1
37,2016,1,1
44,2016,2,2
50,2016,1,1
55,2016,1,2
61,2016,2,1
69,2016,2,2
75,2016,1,1
81,2016,1,1
87,2016,1,2
93,2016,1,2
99,2016,2,2
108,2016,2,2
114,2016,2,1
119,2016,2,2
124,2016,2,2
131,2016,2,2
136,2016,2,2
144,2016,2,1
153,2016,0,2
160,2016,2,2
166,2016,1,1
187,2016,1,0
200,2016,2,0
207,2016,1,1
231,2016,0,1
264,2016,0,2
273,2016,2,2
305,2016,2,2
312,2016,1,1
320,2016,2,1
326,2016,2,2
344,2016,0,1
361,2016,1,2
372,2016,1,1
379,2016,1,1
388,2016,1,2
395,2016,2,2
399,2016,2,1
405,2016,0,1
410,2016,2,2
415,2016,1,1
422,2016,1,1
429,2016,0,1
436,2016,1,0
444,2016,2,1
451,2016,0,1
458,2016,1,0
463,2016,2,1
469,2016,0,1
475,2016,2,1
480,2016,0,1
487,2016,1,1
493,2016,1,2
500,2016,1,2
511,2016,1,1
530,2016,0,1
536,2016,1,1
540,2016,0,1
544,2016,2,2
550,2016,2,2
554,2016,0,1
558,2016,1,1
564,2016,2,2
570,2016,0,1
574,2016,2,2
577,2016,2,2
581,2016,2,2
587,2016,2,2
591,2016,1,2
596,2016,0,1
599,2016,2,2
606,2016,1,1
614,2016,1,1
618,2016,0,2
623,2016,1,1
627,2016,2,2
633,2016,0,1
639,2016,1,1
645,2016,2,2
652,2016,1,2
659,2016,1,0
764,2016,0,0
770,2016,0,0
780,2016,0,0
789,2016,0,0
799,2016,0,0
807,2016,1,0
818,2016,0,0
829,2016,0,0
836,2016,0,0
848,2016,0,0
860,2016,0,0
879,2016,0,0
887,2016,0,0
893,2016,0,0
903,2016,0,0
909,2016,0,0
918,2016,0,0
922,2016,1,2
926,2016,0,0
937,2016,1,0
949,2016,0,0
961,2016,0,0
972,2016,0,0
991,2016,0,0
1002,2016,0,0
1012,2016,0,0
1021,2016,0,0
1031,2016,0,0
1051,2016,0,0
1061,2016,0,0
1073,2016,0,0
1081,2016,0,0
1091,2016,0,0
1101,2016,0,0
1131,2016,0,0
1139,2016,0,0
1149,2016,0,0
1168,2016,0,0
1176,2016,0,0
1187,2016,0,0
1199,2016,0,0
1208,2016,0,0
1220,2016,0,0
1235,2016,1,1
1240,2016,2,1
1244,2016,2,1
1250,2016,0,1
1255,2016,1,1
1261,2016,2,2
1265,2016,1,1
1270,2016,1,1
1275,2016,2,2
1279,2016,1,1
1284,2016,2,1
1289,2016,1,1
1294,2016,2,0
1297,2016,2,1
1302,2016,0,1
1307,2016,1,1
1312,2016,2,2
1316,2016,2,2
1321,2016,2,2
1326,2016,1,0
1330,2016,1,1
1335,2016,1,1
1341,2016,2,1
1347,2016,2,2
1352,2016,2,1
1357,2016,1,1
1360,2016,2,2
1365,2016,0,2
1368,2016,0,0
1370,2016,1,1
1372,2016,0,2
1373,2016,0,1
1375,2016,1,1
1376,2016,0,1
1378,2016,1,1
1379,2016,0,1
1382,2016,0,1
1384,2016,0,1
1385,2016,1,2
1387,2016,0,2
1389,2016,0,2
1390,2016,1,0
1392,2016,0,0
1395,2016,0,1
1397,2016,2,2
1398,2016,0,2
1399,2016,2,2
1406,2016,2,2
1410,2016,0,1
1414,2016,0,1
1417,2016,1,2
1423,2016,0,1
1426,2016,2,0
1427,2016,2,1
1431,2016,1,1
1434,2016,1,1
1435,2016,2,1
1438,2016,2,1
1439,2016,0,1
1442,2016,0,1
1443,2016,0,1
1446,2016,0,1
1447,2016,0,1
1450,2016,0,1
1453,2016,0,1
1456,2016,0,1
1459,2016,0,1
1462,2016,0,1
1463,2016,1,1
1466,2016,0,1
1467,2016,2,2
1470,2016,0,1
1474,2016,0,1
1475,2016,1,2
1479,2016,1,1
1482,2016,0,1
1486,2016,1,1
1489,2016,0,1
1490,2016,1,1
1492,2016,1,1
1493,2016,1,1
1496,2016,1,1
1497,2016,0,1
1500,2016,2,2
1501,2016,1,2
1504,2016,0,1
1506,2016,2,2
1509,2016,1,1
1511,2016,1,1
1512,2016,1,2
1514,2016,0,1
1516,2016,2,1
1517,2016,0,1
1519,2016,0,2
1520,2016,0,2
1522,2016,2,2
1523,2016,2,2
1525,2016,2,2
1527,2016,1,1
1529,2016,1,2
1539,2016,2,0
1551,2016,2,0
1561,2016,1,0
1571,2016,2,2
1579,2016,1,1
1589,2016,0,0
1599,2016,2,0
1609,2016,0,0
1621,2016,1,0
1632,2016,2,0
1642,2016,1,0
1652,2016,0,0
1662,2016,0,0
1673,2016,0,0
1682,2016,0,0
1690,2016,0,0
1701,2016,0,0
1709,2016,0,0
1720,2016,0,0
1730,2016,0,0
1745,2016,0,0
1760,2016,1,0
1772,2016,1,0
1785,2016,0,0
1799,2016,0,0
1813,2016,1,0
1828,2016,0,0
1841,2016,0,0
1854,2016,0,0
1867,2016,0,0
1880,2016,0,0
1893,2016,0,0
1906,2016,0,0
1918,2016,0,0
1931,2016,0,0
1943,2016,0,0
1958,2016,0,0
1973,2016,0,0
1986,2016,0,0
1998,2016,0,0
2009,2016,1,0
2022,2016,0,0
2035,2016,1,0
2045,2016,1,0
2055,2016,0,0
2064,2016,0,0
2072,2016,1,0
2084,2016,0,0
2093,2016,0,0
2102,2016,0,0
2111,2016,0,0
2122,2016,1,0
2130,2016,2,0
2139,2016,0,0
2148,2016,1,0
2158,2016,1,0
2167,2016,1,0
2176,2016,0,0
2186,2016,1,0
2195,2016,2,0
2206,2016,2,2
2218,2016,2,0
2229,2016,0,0
2237,2016,2,0
2249,2016,1,0
2259,2016,1,0
2267,2016,0,0
2278,2016,1,0
2289,2016,1,0
2300,2016,0,0
2311,2016,0,0
2323,2016,2,0
2335,2016,0,0
2346,2016,1,0
2357,2016,0,0
2364,2016,0,0
2374,2016,0,0
2386,2016,1,0
2398,2016,1,0
2411,2016,0,0
2423,2016,0,0
2433,2016,2,0
2446,2016,0,0
2457,2016,0,0
2469,2016,0,0
2482,2016,0,0
2503,2016,0,0
2516,2016,0,0
2526,2016,0,0
2536,2016,0,0
2550,2016,0,0
2564,2016,0,0
2571,2016,1,0
2584,2016,0,0
2593,2016,0,0
2603,2016,0,0
2613,2016,1,0
2623,2016,2,0
2631,2016,1,0
2640,2016,0,0
2650,2016,1,0
2659,2016,0,0
2669,2016,0,0
2678,2016,0,0
2688,2016,1,0
2698,2016,0,0
2708,2016,0,0
2716,2016,0,0
2725,2016,0,0
2734,2016,0,0
2744,2016,0,0
2754,2016,0,0
2763,2016,0,0
2772,2016,0,0
2782,2016,0,0
2790,2016,0,0
2799,2016,0,0
2807,2016,0,0
2816,2016,0,0
2825,2016,0,0
2832,2016,0,0
2841,2016,0,0
2848,2016,0,0
2855,2016,0,0
2866,2016,0,0
2871,2016,0,0
2876,2016,0,0
2882,2016,0,0
2883,2016,1,0
2890,2016,0,0
2895,2016,0,0
2896,2016,0,0
2901,2016,0,0
2908,2016,0,0
2914,2016,2,0
2919,2016,0,0
2924,2016,0,0
2931,2016,0,0
2938,2016,0,0
2947,2016,0,0
2954,2016,0,0
2960,2016,0,0
2967,2016,0,0
2974,2016,0,0
2981,2016,0,0
2988,2016,0,0
2993,2016,0,0
2998,2016,0,0
3005,2016,0,0
3011,2016,0,0
3019,2016,0,0
3025,2016,0,0
3030,2016,0,0
3038,2016,0,0
3047,2016,0,0
3055,2016,0,0
3064,2016,0,0
3073,2016,0,0
3079,2016,0,0
3086,2016,0,0
3094,2016,0,0
3103,2016,0,0
3111,2016,0,0
3121,2016,0,0
3130,2016,0,0
3137,2016,0,0
3146,2016,0,0
3147,2016,1,0
3155,2016,0,0
3164,2016,0,0
3165,2016,0,0
3172,2016,0,0
3179,2016,0,0
3185,2016,0,0
3191,2016,0,0
3199,2016,0,2
3200,2016,0,0
3205,2016,0,0
3211,2016,0,0
3216,2016,0,0
3222,2016,0,0
3228,2016,0,0
3233,2016,0,0
3238,2016,0,0
3245,2016,0,1
3246,2016,0,0
3254,2016,0,1
3255,2016,0,0
3264,2016,0,2
3265,2016,0,0
3271,2016,0,0
3279,2016,0,0
3299,2016,0,0
3307,2016,0,0
3314,2016,0,0
3321,2016,0,0
3329,2016,0,0
3338,2016,0,0
3350,2016,0,0
3357,2016,0,0
3365,2016,0,0
3372,2016,1,0
3379,2016,0,0
3382,2016,0,0
3387,2016,2,0
3388,2016,0,1
3392,2016,0,0
3398,2016,0,0
3406,2016,0,0
3408,2016,0,0
3413,2016,0,0
3414,2016,0,0
3418,2016,0,0
3422,2016,0,0
3423,2016,0,0
3428,2016,0,0
3434,2016,0,1
3435,2016,0,0
3439,2016,0,0
3443,2016,0,0
3451,2016,0,0
3452,2016,0,1
3456,2016,0,0
3461,2016,0,0
3462,2016,1,0
3466,2016,0,0
3470,2016,0,0
3471,2016,0,0
3475,2016,0,0
3479,2016,0,0
3483,2016,0,0
3489,2016,0,0
3490,2016,0,0
3494,2016,0,0
3499,2016,0,1
3500,2016,0,0
3504,2016,0,0
3509,2016,0,0
3510,2016,0,0
3514,2016,0,0
3520,2016,0,0
3524,2016,0,0
3530,2016,0,0
3531,2016,0,0
3535,2016,0,0
3538,2016,0,0
3541,2016,0,0
3545,2016,0,0
3548,2016,0,2
3549,2016,0,0
3550,2016,0,0
3554,2016,0,1
3555,2016,0,0
3557,2016,0,0
3561,2016,0,0
3564,2016,0,0
3568,2016,2,2
3569,2016,0,0
