,adm3_pcode,storm_id,value_count,v_max,dis_track_min,vmax_gust,vmax_gust_mph,vmax_sust_mph,vmax_sust
910,PH175101000,2013282N14132,1709,7.937929232289597,213.63299155022796,35.47371796109687,40.82258758740227,21.485572414422247,18.670377874261508
911,PH175102000,2013282N14132,751,4.746960989971493,305.68816747686657,21.21363776406548,24.412315241968802,12.848586969457266,11.165072507402884
912,PH175103000,2013282N14132,258,10.645711182960037,169.8347611190972,47.574492660309694,54.747965682130825,28.814718780068855,25.039206663320893
913,PH175104000,2013282N14132,347,11.238166178356432,161.3860891385409,50.222107774569494,57.79479883387805,30.41831517572529,26.432688302405
914,PH175105000,2013282N14132,699,4.328064114140088,327.90478007177666,19.341634475401523,22.258043781074928,11.71475988477628,10.179807618632383
915,PH175106000,2013282N14132,831,7.058805035661422,233.8833865736656,31.545010247615703,36.30149355055019,19.10604923713168,16.60263697242932
916,PH175107000,2013282N14132,1519,8.592018973675254,202.6967785678573,38.39677186195269,44.18639129191521,23.25599541679748,20.208827295764575
917,PH175108000,2013282N14132,809,4.795143209902418,305.73024805151596,21.428958716237307,24.660103151854003,12.979001658870528,11.278399324335425
918,PH175109000,2013282N14132,5415,6.087214429609949,255.83843165931503,27.20308049186505,31.30487019274869,16.476247469867733,14.317410785192134
919,PH175110000,2013282N14132,1438,4.844258872437476,305.7049921121363,21.648451119010787,24.912691500411555,13.11194289495345,11.393921641584624
920,PH175111000,2013282N14132,1807,6.527423969993426,243.7391148110999,29.170327694803813,33.56874682772988,17.667761488278884,15.352804049896745
921,PH175201000,2013282N14132,1363,7.031921010378798,228.09865299355198,31.424868545337045,36.16323640001556,19.033282315797667,16.539404497545814
922,PH175202000,2013282N14132,1114,5.7004154669733715,282.76817265925274,25.474519187438172,29.31566947441556,15.429299723376612,13.407641677599038
923,PH175203000,2013282N14132,850,5.2202586778792766,299.4165648920272,23.328752197711953,26.846355122412223,14.129660590743276,12.278290630374713
924,PH175204000,2013282N14132,848,4.411621740596859,327.6021929659132,19.71504416295189,22.687757680608282,11.940925095056992,10.376339033132574
925,PH175205000,2013282N14132,519,7.317790079239689,228.00605941848434,32.7023854424797,37.63338242432533,19.80704338122386,17.211781811831422
926,PH175206000,2013282N14132,815,6.04874398238248,271.66935398371174,27.031160365740313,31.107027259722578,16.372119610380306,14.226926508284375
927,PH175207000,2013282N14132,1117,4.887112842170942,310.6374361531301,21.83996071696167,25.133077684480327,13.2279356234107,11.49471616682193
928,PH175208000,2013282N14132,1529,7.188668231799236,233.42733347424078,32.12535434725574,36.96934426369982,19.45754961247359,16.908081235397756
929,PH175209000,2013282N14132,334,6.47973680233222,260.4663079382355,28.957219075858717,33.323504835558175,17.538686755556935,15.24064161887301
930,PH175210000,2013282N14132,506,6.984062434777253,244.07787136288226,31.21099392347684,35.91711290393359,18.90374363364926,16.42683890709307
931,PH175211000,2013282N14132,173,7.408442791282293,216.90674955327472,33.10750227399879,38.0995843983038,20.052412841212526,17.425001196841468
932,PH175212000,2013282N14132,228,4.971885005819591,310.34847088564044,22.218798035388698,25.569037614866655,13.457388218350873,11.694104229151948
933,PH175213000,2013282N14132,430,7.132945634827867,222.55100308510816,31.876336293405934,36.68277826784688,19.30672540412994,16.7770191017926
934,PH175214000,2013282N14132,580,6.3707785441752645,260.7158264312396,28.47029680604688,32.763162470840456,17.243769721494974,14.984366740024672
935,PH175215000,2013282N14132,504,6.569809079127259,250.06392803894914,29.359742007172308,33.78672179064328,17.782485152970146,15.452495793248584
936,PH175302000,2013282N14132,32,2.129527535890844,470.2020567575145,9.516620391536568,10.951574624785895,5.763986644624155,5.008747574492931
937,PH175307000,2013282N14132,900,4.508736299618894,316.456152510262,20.14903826592909,23.187191156981754,12.203784819464083,10.604756982067942
938,PH175309000,2013282N14132,1300,4.001418747262023,337.16136127613987,17.881892862841283,20.57819646709821,10.830629719525374,9.41152255939015
939,PH175312000,2013282N14132,721,2.78443077942612,409.44302607810477,12.44330974251696,14.31956194719004,7.536611551152653,6.5491103907984
940,PH175313000,2013282N14132,215,2.810839862398673,406.970008664149,12.561328980729458,14.455376600004607,7.608092947370847,6.611225779331294
941,PH175314000,2013282N14132,19,1.6556434752739404,494.3110753176595,7.3988855238329645,8.514519190716785,4.481325889850939,3.8941502757015605
942,PH175319000,2013282N14132,21,1.972852368673732,480.3351335006291,8.816456591793996,10.14583731605876,5.339914376873033,4.640240311470524
