,adm3_pcode,storm_id,value_count,v_max,dis_track_min,vmax_gust,vmax_gust_mph,vmax_sust_mph,vmax_sust
723,PH071226000,2015344N07145,183,7.734978509142672,285.66999450073587,34.56675387736213,39.77886781752946,20.93624621975235,18.19302835650639
724,PH071227000,2015344N07145,80,5.8120710157699405,346.9717433470767,25.973495347453458,29.889883263299726,15.731517506999857,13.670260709186032
725,PH071228000,2015344N07145,79,5.7111815421443834,347.9837516879688,25.522631573299574,29.371036438995368,15.458440231050195,13.432963985947145
726,PH071229000,2015344N07145,241,5.906363678636632,341.997397150927,26.39487871211329,30.374804503598394,15.98673921242021,13.892041427428047
727,PH071230000,2015344N07145,255,6.1195872115997565,322.31234118712507,27.347750834005563,31.471354509949588,16.56387079471031,14.393553070529245
728,PH071231000,2015344N07145,342,7.191781068020256,306.4336471394176,32.13926526418787,36.98535272454133,19.46597511817965,16.915402770625196
729,PH071232000,2015344N07145,167,5.964737520834262,332.6410724516766,26.655744884363987,30.675005124716634,16.144739539324544,14.029339412823152
730,PH071233000,2015344N07145,78,5.3097175237158485,355.5275305491561,23.728533774678272,27.306417370734636,14.371798616176125,12.488701986672774
731,PH071234000,2015344N07145,255,6.812067104588264,316.4929733328728,30.442366028819972,35.032588209167706,18.438204320614584,16.022297909905248
732,PH071235000,2015344N07145,90,8.051396159938806,283.560547457888,35.98078897062,41.40611679970507,21.792693052476352,18.937257352957893
733,PH071236000,2015344N07145,261,6.750684916796291,313.8217869963741,30.16805589656153,34.7169164937723,18.272061312511738,15.877924156085017
734,PH071237000,2015344N07145,171,6.326707650301888,321.19490455604375,28.273348910215525,32.53651798050123,17.12448314763223,14.880709952745013
735,PH071238000,2015344N07145,352,7.420143938730222,299.0953447974147,33.15979339328725,38.159760182515015,20.084084306586853,17.45252283857224
736,PH071239000,2015344N07145,82,5.998478160367202,336.9295442754431,26.806528028883566,30.848523957183108,16.23606524062269,14.1086989625703
737,PH071240000,2015344N07145,252,6.587721799791615,322.8965444466677,29.439791952462635,33.87884198809664,17.830969467419287,15.494627343401389
738,PH071241000,2015344N07145,81,5.798175747157953,342.90028949425994,25.911398946073326,29.818423717193426,15.69390721957549,13.637578392670173
739,PH071242000,2015344N07145,81,5.684765401850409,343.71154111998845,25.40458079670693,29.23518549231707,15.386939732798457,13.370831998266807
740,PH071243000,2015344N07145,545,8.168655238995525,278.1627521295195,36.50480668066907,42.009148004082576,22.110077896885567,19.213056147720565
741,PH071244000,2015344N07145,358,7.616510323172498,293.6426520050584,34.03733280374335,39.16961850872791,20.615588688804163,17.91438568618071
742,PH071245000,2015344N07145,174,6.551675410817283,315.23149044616065,29.278704671564487,33.693465320195834,17.73340280010307,15.40984456398131
743,PH071246000,2015344N07145,703,7.676335053470676,292.5546091539232,34.30468283264807,39.477280648440086,20.77751613075794,18.055096227709512
744,PH071247000,2015344N07145,244,6.21189456727546,334.6663605834098,27.760262082865626,31.946065861205366,16.813718874318614,14.610664254139804
745,PH071248000,2015344N07145,182,8.026778632855605,282.74862629325474,35.870775995309394,41.27951562625905,21.72606085592582,18.879355787004943
746,PH072201000,2015344N07145,88,6.0447103378832825,313.70201177575404,27.0131344595962,31.086283335073425,16.361201755301803,14.217439189261158
747,PH072202000,2015344N07145,162,5.310875979752304,341.0064588018335,23.733710785143472,27.312374991624228,14.374934206118015,12.49142672902288
748,PH072203000,2015344N07145,246,5.437440372146236,335.866800996354,24.299312899790305,27.963260864092174,14.717505717943249,12.789112052521213
749,PH072204000,2015344N07145,186,6.8764091501214955,284.96266934989717,30.72990343429361,35.36348165914311,18.61235876797006,16.17363338647032
750,PH072205000,2015344N07145,520,6.101721525005084,312.6268805900681,27.267911078712363,31.379476195785063,16.515513787255298,14.351532146690719
751,PH072206000,2015344N07145,509,8.706928012857512,239.22204637123272,38.910287506631256,44.77733688733833,23.567019414388596,20.479098687700663
752,PH072207000,2015344N07145,252,5.725052749238932,324.7838051717479,25.58462044644931,29.44237224333295,15.495985391227869,13.465589708657532
753,PH072208000,2015344N07145,698,8.434402459187968,249.94934434389714,37.69240128654,43.3758128929916,22.829375206837682,19.83810594028421
754,PH072209000,2015344N07145,264,12.433207778221131,173.1296992366172,55.56261503091232,63.940569217244736,33.652931166970916,29.243481595217013
755,PH072210000,2015344N07145,366,6.711297546860064,290.80059769744065,29.99203814539998,34.51435807935378,18.165451620712513,15.785283234421042
756,PH072211000,2015344N07145,446,11.503621110610958,187.91564797455203,51.40839617833536,59.159960566284006,31.136821350675792,27.057050620176504
757,PH072212000,2015344N07145,316,5.192747501367509,346.5435238276723,23.205807826730844,26.704872705535074,14.055196160807935,12.213583066700446
758,PH072213000,2015344N07145,426,10.607308879789624,209.69439480933673,47.40287706235471,54.55047319525463,28.71077536592349,24.948882664397217
759,PH072214000,2015344N07145,366,6.775112764844092,290.0989049205488,30.277221217476626,34.8425422000896,18.338180105310318,15.935379588145594
760,PH072215000,2015344N07145,303,9.23917655742193,237.76292842122626,41.28884672561242,47.51454481561829,25.007655166114887,21.730971960848642
761,PH072216000,2015344N07145,310,9.70322459151636,226.6818469003667,43.362625490848295,49.90101626959945,26.263692773473394,22.822434468867524
762,PH072217000,2015344N07145,872,8.35393371881705,255.14041915585378,37.33279548544628,42.96198428533943,22.61157067649444,19.648839729182253
763,PH072218000,2015344N07145,197,8.583199587739546,254.38764368056678,38.357359012566135,44.141035614849834,23.232124007815703,20.188083690824282
764,PH072219000,2015344N07145,194,8.26617192539351,260.2782394241757,36.940597845915455,42.51064951098965,22.37402605841561,19.44241991890287
765,PH072220000,2015344N07145,94,7.684934528993911,276.88605064838924,34.34311292699606,39.521505386716285,20.800792308798044,18.075322593155825
766,PH072221000,2015344N07145,361,12.931126335685931,165.42008332540667,57.78775737701104,66.50122746055801,35.00064603187264,30.414609145795286
767,PH072222000,2015344N07145,417,5.708559974567443,324.3979162349303,25.510916080994345,29.35755443772095,15.451344440905764,13.426797937365444
768,PH072223000,2015344N07145,500,8.914330896455933,243.676186345393,39.837147797494104,45.84395289433619,24.128396260176945,20.96691989341795
769,PH072224000,2015344N07145,179,6.368279162308192,302.2602888376659,28.459127348013794,32.750308837078144,17.237004651093763,14.978488077901998
770,PH072225000,2015344N07145,77,4.8980429432680355,358.773811298462,21.888806116342074,25.189288189300683,13.25752009963194,11.520424271758987
