,area_km2,mun_code,rainfall_max,rainfall_sum
447,356.7300665057769,PH118201000,11.100000000000001,34.8
448,213.25794860608616,PH036905000,35.6,111.2
449,85.80302826969549,PH063015000,22.799999999999997,85.8
450,47.83849969980548,PH104206000,19.200000000000003,58.800000000000004
451,20.38790685131002,PH175905000,70.80000000000001,111.00000000000001
452,704.188858293253,PH148102000,154.52307692307693,211.75384615384615
453,37.930842617540804,PH072219000,22.799999999999997,78.0
454,20.461546085304715,PH175906000,36.0,58.8
455,224.50452915449253,PH023109000,43.2,86.74285714285715
456,9.191068786841903,PH072220000,23.199999999999996,69.6
457,34.74050363884114,PH071215000,25.6,63.2
458,695.4872817954509,PH175309000,96.28799999999998,193.344
459,33.23498887101067,PH071216000,27.0,64.19999999999999
460,120.40786061418142,PH166808000,47.2,108.4
461,86.0778909942705,PH129804000,13.919999999999998,39.36
462,105.44433943471644,PH061901000,31.679999999999996,119.99999999999999
463,30.275679537775076,PH041009000,64.80000000000001,140.4
464,84.67771415348594,PH087805000,17.4,55.800000000000004
465,196.83240646351064,PH060606000,81.12,179.04000000000002
466,432.9721333385236,PH175322000,89.19999999999999,205.0
467,33.4637196521173,PH012808000,151.8,172.8
468,178.4792007240064,PH034906000,46.2,131.39999999999998
469,42.81256292350567,PH175310000,38.25,90.75
470,91.6841907414021,PH072221000,20.1,56.4
471,50.19107069500938,PH051603000,82.19999999999999,132.6
472,124.59920528055517,PH083717000,29.400000000000002,60.60000000000001
473,92.47154698797306,PH071217000,35.04,84.47999999999999
474,93.24395752990443,PH140105000,132.0,184.8
475,43.244800688093626,PH015518000,25.200000000000003,79.2
476,143.1849015920593,PH072222000,28.200000000000003,51.60000000000001
477,172.5662439455321,PH101302000,13.919999999999998,21.119999999999997
478,109.04034669949439,PH071218000,34.2,76.8
479,168.3901319379167,PH072223000,24.299999999999997,67.8
480,73.34089345208224,PH101303000,10.2,17.4
481,176.61859709596985,PH140106000,149.2,181.99999999999997
482,74.73398007014717,PH061902000,42.599999999999994,120.6
483,84.18666390908609,PH166707000,38.0,117.6
