typhoon,mun_code,lf_pre_max_6h,lf_pre_max_24h,lf_during_total_rainfall,lf_during_max_rainfall,lf_during_mean_rainfall,lf_during_max_1h_intensity,lf_during_max_3h_intensity,lf_during_max_6h_intensity,lf_post_max_6h,lf_post_max_24h
durian2006,PH175301000,0.6066666666666667,0.7266666666666665,4.7,1.6800000000000002,0.08545454545454546,2.2133333333333334,3.5133333333333336,3.993333333333333,1.7466666666666664,1.913333333333333
durian2006,PH175101000,2.671428571428571,3.249999999999999,337.27142857142854,42.98571428571428,6.132207792207792,74.19285714285715,144.4142857142857,189.5142857142857,5.021428571428571,6.835714285714285
durian2006,PH030801000,4.3,4.85,57.599999999999994,5.175,1.0472727272727271,9.75,23.525,37.8,5.425000000000001,5.925000000000001
durian2006,PH021501000,0.725,0.725,144.42499999999998,21.025,2.6259090909090905,42.0,105.2,136.5,87.9,213.525
durian2006,PH083701000,10.475000000000001,26.5125,0.9375000000000001,0.225,0.017045454545454548,0.325,0.6375,0.7625,0.17500000000000002,0.35
durian2006,PH012801000,1.8166666666666669,1.85,91.2,20.48333333333333,1.6581818181818182,37.86666666666666,79.78333333333333,84.35,123.2,222.4
durian2006,PH045601000,33.2,43.13333333333334,279.33333333333337,23.833333333333336,5.078787878787879,40.53333333333334,97.16666666666667,152.29999999999998,6.066666666666666,6.066666666666666
durian2006,PH025701000,1.0099999999999998,1.7299999999999998,37.03999999999999,3.3600000000000003,0.6734545454545453,6.66,17.42,22.74,8.610000000000001,8.81
durian2006,PH015501000,1.4666666666666668,1.4833333333333334,12.683333333333334,2.316666666666667,0.23060606060606062,4.466666666666667,8.716666666666667,9.866666666666667,8.483333333333333,9.033333333333333
durian2006,PH041001000,2.45,3.35,266.79999999999995,62.1,4.85090909090909,66.5,82.2,113.4,4.6,7.45
durian2006,PH013301000,1.025,1.5250000000000001,26.45,3.2,0.4809090909090909,5.65,12.575,22.95,7.7,8.125
durian2006,PH015502000,0.7,0.88,29.64,4.86,0.5389090909090909,9.440000000000001,21.439999999999998,24.9,2.86,3.76
durian2006,PH142708000,1.93,2.1799999999999997,40.74999999999999,4.57,0.7409090909090907,7.679999999999999,18.79,29.19,0.75,1.31
durian2006,PH175302000,1.1375000000000002,1.3499999999999999,19.45,1.45,0.35363636363636364,2.65,6.9125,12.7625,0.0,0.0
durian2006,PH063001000,5.9125,8.6,19.662499999999998,2.3375,0.3575,4.425,10.1375,13.4375,16.712500000000002,17.3
durian2006,PH150708000,6.533333333333333,7.466666666666667,0.833333333333333,0.1333333333333333,0.015151515151515147,0.2666666666666666,0.5333333333333332,0.5333333333333332,1.3666666666666663,2.6999999999999993
durian2006,PH150709000,8.425,10.625,1.9749999999999999,0.3,0.035909090909090904,0.425,0.875,1.0499999999999998,2.4,5.4
durian2006,PH045602000,29.733333333333334,35.03333333333333,250.90000000000003,20.366666666666667,4.561818181818182,39.766666666666666,90.4,140.33333333333334,12.933333333333334,14.266666666666666
durian2006,PH128001000,3.9899999999999998,4.74,0.48,0.12,0.008727272727272728,0.15,0.22999999999999998,0.22999999999999998,2.9899999999999998,3.23
durian2006,PH124701000,21.663636363636364,23.681818181818183,0.0,0.0,0.0,0.0,0.0,0.0,33.481818181818184,40.13636363636363
durian2006,PH043401000,5.1,10.3,234.29999999999998,27.2,4.26,39.65,67.25,101.35,1.2,1.45
durian2006,PH083702000,10.7,25.42,11.399999999999995,3.06,0.2072727272727272,6.1,7.079999999999999,9.06,1.44,1.5
durian2006,PH083703000,10.625,28.150000000000002,3.6500000000000004,1.075,0.06636363636363637,1.9,2.75,3.65,1.375,1.55
durian2006,PH071201000,4.0,4.7,0.5,0.4,0.00909090909090909,0.5,0.5,0.5,0.3,0.3
durian2006,PH015504000,0.45,0.45,33.35,5.5,0.6063636363636364,10.649999999999999,25.150000000000002,31.15,0.2,0.4
durian2006,PH021502000,9.95,10.066666666666666,213.95000000000005,30.01666666666667,3.890000000000001,57.416666666666664,110.41666666666667,177.36666666666665,15.816666666666666,20.733333333333334
durian2006,PH072201000,25.05,34.25,1.3,1.0,0.023636363636363636,1.0,1.0,1.0,4.65,4.7
durian2006,PH175901000,22.2,34.1,165.9,12.1,3.0163636363636366,22.15,44.900000000000006,83.10000000000001,4.6000000000000005,8.25
durian2006,PH072202000,7.050000000000001,13.475,0.9,0.45,0.016363636363636365,0.47500000000000003,0.9,0.9,0.125,0.175
durian2006,PH072203000,11.44,17.8,1.5,0.58,0.02727272727272727,0.58,0.76,0.92,3.48,3.48
durian2006,PH166701000,15.200000000000001,22.12,5.04,1.52,0.09163636363636364,2.3600000000000003,4.68,4.98,4.239999999999999,4.46
durian2006,PH124717000,10.6,10.762500000000001,0.0,0.0,0.0,0.0,0.0,0.0,35.9375,39.925
durian2006,PH042101000,2.6,2.7666666666666666,190.3,25.7,3.4600000000000004,28.3,50.13333333333333,82.9,3.4666666666666663,4.066666666666666
durian2006,PH025015000,1.5699999999999998,1.97,121.08,31.2,2.2014545454545456,55.05,91.72,109.2,16.1,18.65
durian2006,PH142707000,1.4666666666666663,1.6999999999999997,63.766666666666666,8.183333333333334,1.1593939393939394,13.45,29.783333333333335,46.53333333333333,1.4499999999999997,1.8166666666666655
durian2006,PH034901000,1.3166666666666662,1.3166666666666662,38.38333333333333,6.2,0.6978787878787879,10.15,19.316666666666666,32.766666666666666,3.216666666666667,5.266666666666667
durian2006,PH023101000,4.4,5.55,62.36666666666666,11.0,1.1339393939393938,12.8,20.53333333333333,34.583333333333336,1.1166666666666663,2.5999999999999996
durian2006,PH071202000,7.2749999999999995,10.325,6.9,6.825,0.12545454545454546,6.825,6.825,6.825,14.4,14.4
durian2006,PH098301000,5.066666666666666,8.783333333333333,0.4999999999999998,0.4333333333333333,0.009090909090909087,0.4333333333333333,0.4833333333333332,0.4833333333333332,1.3999999999999997,2.4499999999999993
