typhoon,mun_code,maximum_24h
ketsana2009,PH175301000,1.2930555555555554
ketsana2009,PH175101000,4.518005952380952
ketsana2009,PH030801000,5.377604166666668
ketsana2009,PH021501000,2.615625
ketsana2009,PH083701000,0.8369791666666665
ketsana2009,PH012801000,3.5652777777777778
ketsana2009,PH045601000,12.721527777777775
ketsana2009,PH025701000,4.474374999999999
ketsana2009,PH015501000,1.3538194444444445
ketsana2009,PH041001000,8.733333333333333
ketsana2009,PH013301000,2.2869791666666672
ketsana2009,PH015502000,2.26625
ketsana2009,PH142708000,5.04625
ketsana2009,PH175302000,2.791145833333333
ketsana2009,PH063001000,1.0825520833333335
ketsana2009,PH150708000,1.5680555555555555
ketsana2009,PH150709000,1.5781249999999993
ketsana2009,PH045602000,13.463888888888887
ketsana2009,PH128001000,1.7995833333333329
ketsana2009,PH124701000,2.5045454545454544
ketsana2009,PH043401000,10.782291666666667
ketsana2009,PH083702000,0.6645833333333334
ketsana2009,PH083703000,0.46145833333333336
ketsana2009,PH071201000,1.0458333333333336
ketsana2009,PH015504000,3.712499999999999
ketsana2009,PH021502000,2.8753472222222225
ketsana2009,PH072201000,2.360416666666666
ketsana2009,PH175901000,1.5093749999999997
ketsana2009,PH072202000,1.8468749999999996
ketsana2009,PH072203000,2.0304166666666665
ketsana2009,PH166701000,0.11041666666666657
ketsana2009,PH124717000,3.086979166666667
ketsana2009,PH042101000,7.336111111111111
ketsana2009,PH025015000,5.817916666666666
ketsana2009,PH142707000,6.164583333333334
ketsana2009,PH034901000,5.244791666666666
ketsana2009,PH023101000,4.437152777777778
ketsana2009,PH071202000,0.796875
ketsana2009,PH098301000,1.3128472222222218
ketsana2009,PH012901000,1.7666666666666666
ketsana2009,PH063002000,1.5142361111111116
ketsana2009,PH041002000,8.919791666666667
ketsana2009,PH021503000,2.089930555555555
ketsana2009,PH084801000,0.9192708333333331
ketsana2009,PH086001000,1.855208333333333
ketsana2009,PH087801000,0.9932291666666667
ketsana2009,PH072204000,1.5171875000000004
ketsana2009,PH104201000,2.765
ketsana2009,PH060401000,1.5906249999999995
ketsana2009,PH104301000,2.089583333333333
ketsana2009,PH042102000,10.190277777777776
ketsana2009,PH025001000,3.31875
ketsana2009,PH074601000,1.9256944444444448
ketsana2009,PH153801000,2.695833333333333
ketsana2009,PH021504000,3.247135416666666
ketsana2009,PH086401000,0.5854166666666668
ketsana2009,PH036901000,4.916666666666666
ketsana2009,PH015505000,1.0817708333333333
ketsana2009,PH071203000,0.4104166666666667
ketsana2009,PH023102000,4.060714285714284
ketsana2009,PH031401000,8.698437499999997
ketsana2009,PH035401000,5.210937499999999
ketsana2009,PH045801000,12.543749999999998
ketsana2009,PH063003000,0.7250000000000001
ketsana2009,PH060601000,1.9052083333333327
ketsana2009,PH071204000,0.8177083333333331
ketsana2009,PH124715000,0.6541666666666667
ketsana2009,PH035402000,7.134375000000001
ketsana2009,PH021505000,5.749810606060606
ketsana2009,PH175303000,2.022916666666667
ketsana2009,PH124718000,0.7831597222222223
ketsana2009,PH035403000,6.074652777777779
ketsana2009,PH072205000,1.5406249999999997
ketsana2009,PH013302000,1.958854166666667
ketsana2009,PH025002000,5.219010416666667
ketsana2009,PH054101000,1.2749999999999997
ketsana2009,PH082601000,1.3111111111111113
ketsana2009,PH015506000,4.222916666666668
ketsana2009,PH142711000,2.6661458333333328
ketsana2009,PH072206000,1.28125
ketsana2009,PH112301000,0.4526785714285717
ketsana2009,PH045603000,13.186011904761903
ketsana2009,PH141101000,2.231666666666667
ketsana2009,PH023103000,5.13
ketsana2009,PH097302000,1.6408333333333334
ketsana2009,PH074602000,2.2828125
ketsana2009,PH051701000,3.3140625000000004
ketsana2009,PH083705000,0.590625
ketsana2009,PH050501000,3.214583333333333
ketsana2009,PH012802000,2.991666666666666
