typhoon,mun_code,rainfall_max_6h
aere2011,PH175301000,0.315
aere2011,PH175101000,0.24805194805194805
aere2011,PH030801000,2.066666666666667
aere2011,PH021501000,0.09318181818181817
aere2011,PH083701000,3.880208333333334
aere2011,PH012801000,0.7291666666666666
aere2011,PH045601000,2.4972222222222222
aere2011,PH025701000,0.0775
aere2011,PH015501000,0.5277777777777778
aere2011,PH041001000,0.4375
aere2011,PH013301000,0.90625
aere2011,PH015502000,0.9149999999999999
aere2011,PH142708000,0.3333333333333333
aere2011,PH175302000,1.7204545454545455
aere2011,PH063001000,2.897727272727273
aere2011,PH150708000,0.1333333333333334
aere2011,PH150709000,0.19791666666666666
aere2011,PH045602000,2.0388888888888883
aere2011,PH128001000,0.1275
aere2011,PH124701000,0.3
aere2011,PH043401000,0.44999999999999996
aere2011,PH083702000,5.6483333333333325
aere2011,PH083703000,9.604166666666666
aere2011,PH071201000,1.491666666666667
aere2011,PH015504000,0.46249999999999997
aere2011,PH021502000,0.4472222222222222
aere2011,PH072201000,2.2208333333333328
aere2011,PH175901000,4.004545454545454
aere2011,PH072202000,2.704166666666667
aere2011,PH072203000,1.59
aere2011,PH166701000,2.4483333333333333
aere2011,PH124717000,0.36874999999999997
aere2011,PH042101000,1.4555555555555555
aere2011,PH025015000,0.19416666666666668
aere2011,PH142707000,0.563888888888889
aere2011,PH034901000,0.55
aere2011,PH023101000,0.36111111111111116
aere2011,PH071202000,2.3645833333333335
aere2011,PH098301000,0.9277777777777777
aere2011,PH012901000,1.3791666666666667
aere2011,PH063002000,2.270833333333333
aere2011,PH041002000,0.8458333333333333
aere2011,PH021503000,0.513888888888889
aere2011,PH084801000,14.445454545454545
aere2011,PH086001000,20.364583333333332
aere2011,PH087801000,11.610416666666666
aere2011,PH072204000,2.3312500000000003
aere2011,PH104201000,0.3916666666666666
aere2011,PH060401000,2.5145833333333334
aere2011,PH104301000,0.028333333333333332
aere2011,PH042102000,1.2
aere2011,PH025001000,0.5261904761904761
aere2011,PH074601000,1.5138888888888886
aere2011,PH153801000,0.3875
aere2011,PH021504000,0.5010416666666667
aere2011,PH086401000,2.3388888888888895
aere2011,PH036901000,0.3277777777777777
aere2011,PH015505000,0.5604166666666667
aere2011,PH071203000,1.7166666666666666
aere2011,PH023102000,0.060714285714285714
aere2011,PH031401000,0.3229166666666667
aere2011,PH035401000,3.635416666666668
aere2011,PH045801000,0.6416666666666666
aere2011,PH063003000,2.4999999999999996
aere2011,PH060601000,1.1227272727272728
aere2011,PH071204000,1.3729166666666668
aere2011,PH124715000,0.4449999999999999
aere2011,PH035402000,3.5208333333333335
aere2011,PH021505000,0.15303030303030304
aere2011,PH175303000,0.503030303030303
aere2011,PH124718000,0.26597222222222217
aere2011,PH035403000,4.026388888888889
aere2011,PH072205000,2.827777777777778
aere2011,PH013302000,1.0125
aere2011,PH025002000,0.3177083333333333
aere2011,PH054101000,8.08090909090909
aere2011,PH082601000,9.237499999999999
aere2011,PH015506000,0.09791666666666667
aere2011,PH142711000,0.3854166666666667
aere2011,PH072206000,3.083333333333334
aere2011,PH112301000,2.1535714285714285
aere2011,PH045603000,2.1809523809523808
aere2011,PH141101000,0.5166666666666667
aere2011,PH023103000,0.4433333333333333
aere2011,PH097302000,1.8916666666666664
aere2011,PH074602000,1.7125000000000001
aere2011,PH051701000,10.340909090909092
aere2011,PH083705000,6.1520833333333345
aere2011,PH050501000,7.825
aere2011,PH012802000,0.7625000000000001
aere2011,PH071205000,1.5208333333333333
aere2011,PH013303000,0.35555555555555557
aere2011,PH175201000,0.43553719008264463
aere2011,PH103501000,0.9583333333333335
aere2011,PH153601000,0.22222222222222224
aere2011,PH064501000,2.0298701298701296
aere2011,PH035404000,4.533333333333332
aere2011,PH074603000,1.1541666666666666
aere2011,PH042103000,3.9499999999999997
aere2011,PH166702000,2.4944444444444445
aere2011,PH097226000,0.280952380952381
aere2011,PH072207000,1.920833333333334
aere2011,PH063004000,3.297916666666666
aere2011,PH012803000,1.4104166666666667
aere2011,PH025003000,1.1194444444444445
aere2011,PH030802000,0.8552083333333331
aere2011,PH052001000,4.905555555555556
aere2011,PH112501000,1.049404761904762
aere2011,PH021506000,0.27444444444444444
aere2011,PH064502000,2.2610389610389614
aere2011,PH141102000,0.425
aere2011,PH013304000,0.50625
aere2011,PH126501000,0.36250000000000004
aere2011,PH074604000,1.5375000000000003
aere2011,PH141103000,0.387962962962963
aere2011,PH175304000,0.03958333333333334
aere2011,PH153602000,0.10416666666666667
aere2011,PH031402000,1.3499999999999999
aere2011,PH072208000,2.391666666666667
aere2011,PH082602000,4.9125000000000005
aere2011,PH082603000,7.389285714285713
aere2011,PH013305000,0.4270833333333334
aere2011,PH063005000,2.3272727272727276
aere2011,PH051702000,37.00909090909091
aere2011,PH041003000,2.6979166666666665
aere2011,PH143201000,0.9130952380952381
aere2011,PH054102000,9.216363636363637
aere2011,PH037701000,0.13611111111111113
aere2011,PH041004000,0.7312500000000002
aere2011,PH060402000,2.5054545454545454
aere2011,PH104202000,0.9395833333333332
aere2011,PH097224000,0.6520833333333333
aere2011,PH071206000,1.6312499999999994
aere2011,PH153603000,0.14791666666666667
aere2011,PH104302000,0.17023809523809522
aere2011,PH104303000,0.3499999999999999
aere2011,PH031403000,1.508333333333333
aere2011,PH021507000,0.10757575757575757
aere2011,PH103502000,0.25833333333333336
aere2011,PH054103000,6.7475
aere2011,PH015507000,0.09583333333333333
aere2011,PH036902000,2.446875
aere2011,PH025004000,0.775
aere2011,PH063006000,2.469090909090909
