SID,name_year,ADM3_PCODE,entry_date,exit_date,hours_difference,is_intersect,is_third_pass
2014260N13135,fung-wong2014,PH021526000,2014-09-18 15:00:00,2014-09-20 15:00:00,48.0,True,False
2014260N13135,fung-wong2014,PH086018000,2014-09-18 00:00:00,2014-09-18 09:00:00,9.0,True,False
2014260N13135,fung-wong2014,PH126318000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH013317000,2014-09-18 18:00:00,2014-09-20 03:00:00,33.0,True,False
2014260N13135,fung-wong2014,PH015540000,2014-09-18 18:00:00,2014-09-19 21:00:00,27.0,True,False
2014260N13135,fung-wong2014,PH023136000,2014-09-18 12:00:00,2014-09-20 06:00:00,42.0,True,False
2014260N13135,fung-wong2014,PH035421000,2014-09-18 21:00:00,2014-09-19 09:00:00,12.0,True,False
2014260N13135,fung-wong2014,PH041028000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH112318000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH013318000,2014-09-18 18:00:00,2014-09-20 06:00:00,36.0,True,False
2014260N13135,fung-wong2014,PH157010000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH103519000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH104213000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH061915000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH063044000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH118605000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH045645000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH012821000,2014-09-18 18:00:00,2014-09-20 21:00:00,51.0,True,False
2014260N13135,fung-wong2014,PH035422000,2014-09-19 06:00:00,2014-09-19 09:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH034917000,2014-09-18 15:00:00,2014-09-19 21:00:00,30.0,True,False
2014260N13135,fung-wong2014,PH060615000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH126512000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097214000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH071239000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153808000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153837000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH156612000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH074619000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH098313000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097215000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH160314000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH060616000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH072246000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097216000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH074620000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH067905000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097217000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH157011000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH071240000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH012929000,2014-09-18 18:00:00,2014-09-20 09:00:00,39.0,True,False
2014260N13135,fung-wong2014,PH061916000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH071241000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH086416000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH042118000,2014-09-18 21:00:00,2014-09-19 00:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH064526000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH084822000,2014-09-17 12:00:00,2014-09-18 12:00:00,24.0,True,False
2014260N13135,fung-wong2014,PH157004000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
