,area_km2,mun_code,rainfall_max,rainfall_sum
0,775.2962500712373,PH175301000,10.080000000000002,25.76
1,602.3362849640978,PH175101000,6.685714285714286,12.685714285714285
2,76.96680541711024,PH030801000,33.599999999999994,54.599999999999994
3,132.65195383107744,PH021501000,53.400000000000006,73.80000000000001
4,316.3155984568427,PH083701000,30.299999999999997,45.599999999999994
5,111.18487101797889,PH012801000,37.6,80.4
6,35.571040939129674,PH045601000,68.0,111.2
7,280.2400186995342,PH025701000,124.32,165.83999999999997
8,166.12891008136614,PH015501000,38.0,69.2
9,48.80757418043008,PH041001000,19.200000000000003,34.80000000000001
10,48.20141406882889,PH013301000,70.80000000000001,102.60000000000002
11,158.07716299455194,PH015502000,46.56,83.03999999999999
12,450.08434942172755,PH142708000,73.19999999999999,104.63999999999999
13,30.98537832080031,PH175302000,15.899999999999999,18.9
14,170.88447870750667,PH063001000,9.0,23.700000000000003
15,30.79226217342146,PH150708000,8.799999999999999,17.6
16,49.34530214780986,PH150709000,10.2,17.400000000000002
17,60.37998309005318,PH045602000,88.80000000000001,140.8
18,494.4497989691762,PH128001000,3.12,7.92
19,564.0044352460573,PH124701000,14.618181818181819,28.800000000000004
20,59.65389690110897,PH043401000,20.4,48.0
21,155.23160112684656,PH083702000,29.759999999999998,79.2
22,77.18635813388248,PH083703000,22.799999999999997,58.2
23,28.538295143374846,PH071201000,9.600000000000001,24.0
24,58.59236174493443,PH015504000,60.0,99.60000000000001
25,180.4647179685571,PH021502000,81.20000000000002,97.20000000000002
26,25.564812570623435,PH072201000,21.6,39.6
27,70.43996646866933,PH175901000,37.2,52.8
28,67.38032758073979,PH072202000,18.0,36.0
29,96.30168751133192,PH072203000,14.879999999999999,37.92
30,80.04230067157185,PH166701000,7.68,24.0
31,173.04553550982976,PH124717000,7.199999999999999,15.9
32,70.29168914184446,PH042101000,17.599999999999998,37.6
33,466.63322170322175,PH025015000,127.19999999999999,154.56
34,358.69811818529337,PH142707000,75.6,118.39999999999999
35,95.30449889819195,PH034901000,68.0,89.6
36,158.37628571309054,PH023101000,99.60000000000001,148.8
37,81.72000110082011,PH071202000,25.799999999999997,59.4
38,146.11209518044345,PH098301000,13.999999999999998,43.199999999999996
39,114.51152243229193,PH012901000,65.4,102.0
40,101.12243003153061,PH063002000,18.8,50.00000000000001
41,25.480842696172648,PH041002000,14.399999999999999,31.2
42,230.5979442938652,PH021503000,68.4,88.4
43,44.45392379086899,PH084801000,151.8,177.60000000000002
44,24.30675346604806,PH086001000,61.199999999999996,67.2
45,50.741661439431816,PH087801000,43.8,60.0
46,62.641073037531434,PH072204000,7.199999999999999,16.8
47,110.14382168227837,PH104201000,3.84,7.199999999999999
48,94.83325312418434,PH060401000,19.799999999999997,37.8
49,117.0332123630458,PH104301000,8.16,14.88
50,35.94105842131605,PH042102000,27.999999999999996,50.4
51,177.52024595045825,PH025001000,69.94285714285714,98.74285714285713
52,59.22064834205202,PH074601000,10.399999999999999,20.799999999999997
53,222.0255587910777,PH153801000,4.800000000000001,16.4
54,287.49348094179555,PH021504000,77.69999999999999,93.89999999999999
55,34.61836362492503,PH086401000,35.199999999999996,56.0
56,25.458964468471827,PH036901000,61.60000000000001,90.4
57,77.78113294515659,PH015505000,53.400000000000006,102.0
58,66.26789535872965,PH071203000,45.599999999999994,67.19999999999999
59,194.52081507991568,PH023102000,114.17142857142858,165.94285714285715
60,49.42483565312867,PH031401000,76.19999999999999,89.99999999999999
61,121.13984008706984,PH035401000,52.199999999999996,66.0
62,14.665829879466243,PH045801000,55.199999999999996,72.0
63,101.86899083742134,PH063003000,6.4,27.200000000000003
64,50.73834764237751,PH060601000,14.399999999999999,18.0
65,65.66294435402109,PH071204000,5.4,19.8
66,110.08610628490241,PH124715000,24.48,42.72
67,57.626397810212204,PH035402000,60.0,108.00000000000001
68,261.22015418318125,PH021505000,58.036363636363646,78.10909090909092
69,174.47227289383423,PH175303000,3.2727272727272725,6.327272727272727
70,443.4128510012839,PH124718000,16.4,37.0
71,187.24298475841124,PH035403000,65.2,80.0
72,195.71131157666764,PH072205000,20.0,33.199999999999996
73,97.29751545750165,PH013302000,66.0,91.8
74,292.0767035337139,PH025002000,87.0,138.0
75,456.08673802769994,PH054101000,49.199999999999996,100.32
76,100.94078969905937,PH082601000,223.99999999999997,252.0
77,78.5005080082754,PH015506000,67.80000000000001,125.4
78,205.45314977504069,PH142711000,68.4,104.1
79,140.4539354295374,PH072206000,13.200000000000001,36.6
80,223.6195663015394,PH112301000,21.25714285714286,49.371428571428574
81,221.20147566632915,PH045603000,75.42857142857143,121.02857142857142
82,178.62049110003872,PH141101000,61.44,109.91999999999999
83,74.75046551118973,PH023103000,91.68,144.48000000000002
84,160.3289801739477,PH097302000,13.919999999999998,22.56
85,248.32339440680852,PH074602000,24.0,45.9
86,107.95132586030387,PH051701000,79.80000000000001,142.8
87,134.43515244905035,PH083705000,41.400000000000006,76.19999999999999
88,118.83700008863782,PH050501000,111.42857142857144,166.9714285714286
89,55.34607397447094,PH012802000,80.4,112.80000000000001
90,33.814288908993454,PH071205000,10.8,23.4
91,76.49064428937179,PH013303000,63.2,80.80000000000001
92,435.18961181184295,PH175201000,9.381818181818183,23.78181818181818
93,63.350655347888114,PH103501000,8.799999999999999,20.799999999999997
94,21.57547178886493,PH153601000,11.2,28.8
95,162.24800874771478,PH064501000,14.742857142857144,34.28571428571429
96,83.63492585864924,PH035404000,55.67999999999999,71.52
97,40.3914281561928,PH074603000,6.0,14.400000000000002
