fpr,tpr,thresholds,auc
0.0,0.0,1.9887514305617753,0.6754735792622133
0.00423728813559322,0.0,0.9887514305617754,0.6754735792622133
0.00423728813559322,0.0196078431372549,0.9869278231347197,0.6754735792622133
0.012711864406779662,0.0196078431372549,0.943501063113132,0.6754735792622133
0.012711864406779662,0.0392156862745098,0.9075356874925843,0.6754735792622133
0.0211864406779661,0.0392156862745098,0.887013656841243,0.6754735792622133
0.0211864406779661,0.049019607843137254,0.8823249786611858,0.6754735792622133
0.038135593220338986,0.049019607843137254,0.8590201704425839,0.6754735792622133
0.038135593220338986,0.058823529411764705,0.8555162270679513,0.6754735792622133
0.059322033898305086,0.058823529411764705,0.819171501391329,0.6754735792622133
0.059322033898305086,0.06862745098039216,0.8116042482421794,0.6754735792622133
0.0635593220338983,0.06862745098039216,0.8002246316901488,0.6754735792622133
0.0635593220338983,0.0784313725490196,0.787339546581433,0.6754735792622133
0.06779661016949153,0.0784313725490196,0.7853032095805929,0.6754735792622133
0.06779661016949153,0.09803921568627451,0.781162958210372,0.6754735792622133
0.07203389830508475,0.09803921568627451,0.780851476110097,0.6754735792622133
0.07203389830508475,0.11764705882352941,0.7775554474261371,0.6754735792622133
0.07627118644067797,0.11764705882352941,0.7733553725123199,0.6754735792622133
0.07627118644067797,0.12745098039215685,0.7676518165742305,0.6754735792622133
0.09322033898305085,0.12745098039215685,0.7576292312600628,0.6754735792622133
0.09322033898305085,0.13725490196078433,0.7554025986364918,0.6754735792622133
0.11016949152542373,0.13725490196078433,0.7379905309925593,0.6754735792622133
0.11016949152542373,0.14705882352941177,0.7340167495339908,0.6754735792622133
0.1271186440677966,0.14705882352941177,0.7198473116639953,0.6754735792622133
0.1271186440677966,0.1568627450980392,0.7112490957318545,0.6754735792622133
0.13135593220338984,0.1568627450980392,0.7096804311307355,0.6754735792622133
0.13135593220338984,0.16666666666666666,0.7033517141642742,0.6754735792622133
0.13559322033898305,0.16666666666666666,0.6996817390363217,0.6754735792622133
0.13559322033898305,0.18627450980392157,0.6980604883622126,0.6754735792622133
0.1483050847457627,0.18627450980392157,0.6946823172038689,0.6754735792622133
0.1483050847457627,0.22549019607843138,0.6803425790177818,0.6754735792622133
0.15254237288135594,0.22549019607843138,0.6801663614163616,0.6754735792622133
0.15254237288135594,0.23529411764705882,0.6778523813069959,0.6754735792622133
0.15677966101694915,0.23529411764705882,0.6737000392553131,0.6754735792622133
0.15677966101694915,0.24509803921568626,0.6725693818239457,0.6754735792622133
0.1652542372881356,0.24509803921568626,0.6702263668001097,0.6754735792622133
0.1652542372881356,0.2647058823529412,0.6630775650425752,0.6754735792622133
0.1864406779661017,0.2647058823529412,0.6604414742345777,0.6754735792622133
0.1864406779661017,0.27450980392156865,0.660369185553009,0.6754735792622133
0.19491525423728814,0.27450980392156865,0.6557185152012737,0.6754735792622133
0.19491525423728814,0.29411764705882354,0.6438166197674312,0.6754735792622133
0.19915254237288135,0.29411764705882354,0.6424885902636915,0.6754735792622133
0.19915254237288135,0.3235294117647059,0.6331913494438849,0.6754735792622133
0.21610169491525424,0.3235294117647059,0.6208826100370217,0.6754735792622133
0.21610169491525424,0.3333333333333333,0.6174446243411762,0.6754735792622133
0.22033898305084745,0.3333333333333333,0.6125712016178548,0.6754735792622133
0.22033898305084745,0.37254901960784315,0.6036323716110467,0.6754735792622133
0.2288135593220339,0.37254901960784315,0.5993705056775543,0.6754735792622133
0.2288135593220339,0.38235294117647056,0.5991996401105506,0.6754735792622133
0.2627118644067797,0.38235294117647056,0.586857826081964,0.6754735792622133
0.2627118644067797,0.4215686274509804,0.5745182052520982,0.6754735792622133
0.2669491525423729,0.4215686274509804,0.5731010333761346,0.6754735792622133
0.2669491525423729,0.43137254901960786,0.5728190209047207,0.6754735792622133
0.2796610169491525,0.43137254901960786,0.5699358509389737,0.6754735792622133
0.2796610169491525,0.4411764705882353,0.5675485194881748,0.6754735792622133
0.3008474576271186,0.4411764705882353,0.5587033219766485,0.6754735792622133
0.3008474576271186,0.46078431372549017,0.5565653392415562,0.6754735792622133
0.3135593220338983,0.46078431372549017,0.5550047892720307,0.6754735792622133
0.3135593220338983,0.4803921568627451,0.55031908380666,0.6754735792622133
0.3220338983050847,0.4803921568627451,0.5449736725496822,0.6754735792622133
