,area_km2,mun_code,rainfall_max,rainfall_sum
411,44.8430998184344,PH137604000,54.599999999999994,106.19999999999999
412,31.312129353823966,PH137403000,45.0,114.6
413,240.5830363873964,PH063035000,255.29999999999998,279.29999999999995
414,99.00612108508518,PH013314000,14.8,22.000000000000004
415,70.16230196533525,PH035416000,21.0,64.2
416,107.88404709988203,PH031420000,51.0,126.6
417,5.780010977699096,PH137405000,49.199999999999996,104.39999999999998
418,24.06652788795164,PH043425000,57.599999999999994,127.19999999999999
419,56.18543780277454,PH043428000,68.4,139.20000000000002
420,151.78405484418937,PH023135000,26.099999999999998,67.2
421,327.2333013139551,PH064527000,74.13333333333334,96.0
422,281.3391663853714,PH056216000,129.86666666666667,366.9333333333333
423,118.41695857496757,PH050517000,112.80000000000001,290.0571428571428
424,689.7678086796055,PH143213000,30.34285714285714,105.77142857142857
425,146.5639338029033,PH126511000,18.400000000000002,27.200000000000003
426,184.33717473392102,PH112319000,40.8,94.39999999999999
427,193.32913803191633,PH064528000,101.14285714285714,113.48571428571428
428,42.08554826527923,PH072250000,84.6,145.8
429,112.10530482836693,PH041031000,101.39999999999999,194.4
430,181.50449698071333,PH166819000,58.800000000000004,171.2
431,228.23708949543516,PH074621000,47.099999999999994,56.39999999999999
432,262.69471513722164,PH036916000,16.0,32.0
433,224.8669884235322,PH045647000,123.42857142857144,286.2857142857143
434,95.6307739744678,PH015546000,28.799999999999997,39.839999999999996
435,668.1382156309714,PH101321000,33.120000000000005,83.68
436,46.57006333938752,PH137504000,57.599999999999994,120.59999999999998
437,105.67915120315631,PH064531000,122.74285714285716,139.54285714285714
438,24.485368504232255,PH012934000,21.6,25.200000000000003
439,45.402116335059425,PH071214000,67.19999999999999,130.79999999999998
440,78.06200355073055,PH104205000,29.199999999999996,79.6
441,286.7250597623918,PH166706000,85.71428571428572,237.59999999999997
442,128.96876762508865,PH021511000,142.56,259.2
443,170.77058720213543,PH054107000,197.10000000000002,332.70000000000005
444,622.2224944190938,PH104306000,27.299999999999997,70.8
445,302.40286398637005,PH126502000,11.657142857142855,32.57142857142857
446,47.4019900053414,PH072218000,93.6,141.6
447,356.7300665057769,PH118201000,28.799999999999997,122.1
448,213.25794860608616,PH036905000,13.999999999999998,35.199999999999996
449,85.80302826969549,PH063015000,172.5,208.8
450,47.83849969980548,PH104206000,51.0,125.4
451,20.38790685131002,PH175905000,160.8,237.60000000000002
452,704.188858293253,PH148102000,47.07692307692308,117.6
453,37.930842617540804,PH072219000,99.60000000000001,141.60000000000002
454,20.461546085304715,PH175906000,188.39999999999998,273.59999999999997
455,224.50452915449253,PH023109000,19.200000000000003,48.0
456,9.191068786841903,PH072220000,83.19999999999999,122.39999999999999
457,34.74050363884114,PH071215000,70.39999999999999,115.19999999999999
458,695.4872817954509,PH175309000,59.616,138.048
459,33.23498887101067,PH071216000,72.6,115.19999999999999
460,120.40786061418142,PH166808000,78.4,177.20000000000005
461,86.0778909942705,PH129804000,31.679999999999996,66.23999999999998
462,105.44433943471644,PH061901000,221.76,256.32
463,30.275679537775076,PH041009000,117.60000000000001,213.6
464,84.67771415348594,PH087805000,222.0,357.59999999999997
465,196.83240646351064,PH060606000,157.92000000000002,198.24
466,432.9721333385236,PH175322000,60.0,121.2
467,33.4637196521173,PH012808000,46.2,56.4
468,178.4792007240064,PH034906000,33.0,49.2
469,42.81256292350567,PH175310000,162.60000000000002,171.3
470,91.6841907414021,PH072221000,111.30000000000001,163.5
471,50.19107069500938,PH051603000,229.20000000000002,397.80000000000007
