,area_km2,mun_code,rainfall_max,rainfall_sum
822,74.96101835200004,PH043412000,13.919999999999998,46.08
823,256.4654622851182,PH153611000,88.80000000000001,133.71428571428572
824,21.05547519435805,PH153641000,70.19999999999999,106.19999999999999
825,83.16793462467433,PH043413000,18.8,54.0
826,27.568553922816516,PH153612000,68.4,104.4
827,17.241032846621767,PH153636000,66.0,104.4
828,40.55155000838803,PH013310000,9.600000000000001,19.2
829,45.58763960354617,PH023116000,96.8,140.0
830,320.6576907915821,PH148105000,56.91428571428571,100.11428571428571
831,116.80363082359868,PH034916000,12.400000000000002,19.600000000000005
832,198.34279677915353,PH051719000,196.4,249.2
833,541.3124269172158,PH112507000,35.63076923076923,75.87692307692308
834,166.31571035016367,PH126507000,5.199999999999999,12.799999999999997
835,84.8611368547094,PH156604000,2.4000000000000004,3.3600000000000003
836,360.4507893469631,PH124710000,21.0,31.5
837,188.66809812318817,PH061907000,46.62857142857142,81.25714285714284
838,445.3580955889381,PH128004000,14.399999999999999,40.08
839,150.76542727765292,PH063029000,33.0,48.599999999999994
840,97.63652064165417,PH035409000,5.6,7.6
841,345.8722956718493,PH074614000,30.299999999999997,55.5
842,257.3806664492078,PH015523000,16.457142857142856,31.54285714285714
843,39.74232204169104,PH041016000,4.800000000000001,16.8
844,96.76674649127628,PH071231000,30.0,45.0
845,214.96993479155842,PH118203000,52.800000000000004,91.6
846,47.67124642638008,PH043414000,15.600000000000001,34.8
847,79.84421947306073,PH098307000,15.0,28.8
848,90.30963453019633,PH035410000,7.199999999999999,11.04
849,103.94892084690512,PH045625000,16.200000000000003,46.8
850,71.06216323557044,PH083730000,53.279999999999994,194.4
851,317.876311564077,PH118204000,61.199999999999996,106.8
852,463.9449419191299,PH023117000,96.24,121.67999999999999
853,66.45254290627851,PH086408000,28.799999999999997,80.16
854,291.45481582271583,PH060410000,48.599999999999994,85.8
855,80.68483831217242,PH153613000,85.91999999999999,126.24000000000001
856,99.75055882616516,PH153614000,82.08000000000001,125.28000000000002
857,770.3351096308712,PH025704000,98.39999999999999,132.84705882352938
858,143.48163066798688,PH166813000,106.08,224.16000000000003
859,24.150712625784063,PH072228000,35.199999999999996,47.199999999999996
860,96.98802441609797,PH035411000,10.2,13.2
861,65.91900649278647,PH042112000,10.2,19.2
862,111.5430383227255,PH056211000,49.44,126.71999999999998
863,36.66679331580881,PH160208000,88.80000000000001,153.6
