typhoon,SID,startdate,start_time,enddate,end_time,landfalldate,landfall_time,earliest_entry_date,earliest_entry_time,latest_exit_date,latest_exit_time,imerg_type
nock-ten2011,2011205N12130,24/07/2011,00:00:00,31/07/2011,21:00:00,27/07/2011,06:00:00,24/07/2011,00:00:00,28/07/2011,00:00:00,final
nock-ten2016,2016355N07146,20/12/2016,00:00:00,28/12/2016,09:00:00,25/12/2016,15:00:00,24/12/2016,03:00:00,28/12/2016,06:00:00,final
pakhar2017,2017236N15129,24/08/2017,00:00:00,28/08/2017,21:00:00,25/08/2017,15:00:00,24/08/2017,09:00:00,26/08/2017,03:00:00,final
parma2009,2009270N10148,27/09/2009,00:00:00,14/10/2009,15:00:00,03/10/2009,06:00:00,30/09/2009,18:00:00,10/10/2009,09:00:00,final
phanfone2019,2019354N05151,19/12/2019,12:00:00,29/12/2019,03:00:00,24/12/2019,12:00:00,23/12/2019,21:00:00,26/12/2019,03:00:00,final
rammasun2014,2014190N08154,09/07/2014,06:00:00,20/07/2014,03:00:00,15/07/2014,12:00:00,14/07/2014,09:00:00,16/07/2014,18:00:00,final
sarika2016,2016287N13130,12/10/2016,18:00:00,20/10/2016,03:00:00,15/10/2016,21:00:00,13/10/2016,09:00:00,16/10/2016,12:00:00,final
saudel2020,2020293N14129,19/10/2020,00:00:00,26/10/2020,03:00:00,20/10/2020,15:00:00,19/10/2020,00:00:00,22/10/2020,03:00:00,final
tembin2017,2017354N08134,20/12/2017,00:00:00,26/12/2017,09:00:00,21/12/2017,21:00:00,21/12/2017,03:00:00,24/12/2017,06:00:00,final
tokage2016,2016328N09130,23/11/2016,06:00:00,28/11/2016,21:00:00,24/11/2016,12:00:00,23/11/2016,18:00:00,27/11/2016,21:00:00,final
trami2013,2013228N23124,16/08/2013,00:00:00,24/08/2013,03:00:00,19/08/2013,00:00:00,16/08/2013,00:00:00,16/08/2013,18:00:00,final
usagi2013,2013259N17132,16/09/2013,00:00:00,24/09/2013,21:00:00,21/09/2013,00:00:00,18/09/2013,18:00:00,21/09/2013,21:00:00,final
utor2013,2013220N12137,08/08/2013,06:00:00,18/08/2013,03:00:00,11/08/2013,21:00:00,10/08/2013,12:00:00,12/08/2013,12:00:00,final
vamco2020,2020314N12131,09/11/2020,06:00:00,15/11/2020,09:00:00,11/11/2020,18:00:00,09/11/2020,21:00:00,12/11/2020,12:00:00,final
vongfong2020,2020133N10129,11/05/2020,18:00:00,16/05/2020,15:00:00,14/05/2020,06:00:00,13/05/2020,09:00:00,16/05/2020,15:00:00,final
washi2011,2011346N03156,11/12/2011,18:00:00,19/12/2011,09:00:00,16/12/2011,09:00:00,15/12/2011,18:00:00,19/12/2011,00:00:00,final
yutu2018,2018294N08161,20/10/2018,18:00:00,03/11/2018,03:00:00,29/10/2018,21:00:00,29/10/2018,03:00:00,31/10/2018,06:00:00,final
