,year,actual,predicted
7,2016,0.3249672666466849,0.6130431368041984
25,2016,1.0,0.3523322515162119
46,2016,0.4879391784311644,0.38068554342948463
56,2016,0.9460965114492085,0.5146611025080972
60,2016,0.8472320275841625,0.6766533457649807
69,2016,1.0,0.6738826698832922
79,2016,1.0,0.37256557643634775
84,2016,1.0,0.42965968996505377
91,2016,0.8184811237928007,0.747661432915222
109,2016,0.415650406504065,0.415696804007196
116,2016,0.2688172043010753,0.5697246022619147
123,2016,0.6675245295158436,0.48421716629045614
140,2016,1.0,0.40893259209974564
155,2016,1.0,0.433940484052406
163,2016,0.01855702489229296,0.4972809431924717
169,2016,0.5913272010512483,0.34764102637880023
176,2016,0.7712693666757271,0.37967672749286685
187,2016,0.2964746273656004,0.7009842546635884
196,2016,1.0,0.4518110266824131
210,2016,0.2859462290502793,0.6664314336946432
220,2016,0.8704927057528214,0.46378660383104453
227,2016,0.3248287266713915,0.3859519166857381
235,2016,1.0,0.37008957597288744
242,2016,1.0,0.6149203349621593
251,2016,1.0,0.7215393965140904
256,2016,0.3473698648926686,0.7032755453552747
271,2016,0.7124304267161409,0.3706474186711239
279,2016,1.0,0.41599676907791044
287,2016,0.6933345868195919,0.47319549781226833
295,2016,0.7351928374655647,0.3917303882369127
303,2016,0.4222900989001515,0.6504243991220383
310,2016,1.0,0.48011273354321565
319,2016,1.0,0.37636550582219597
333,2016,1.0,0.244313235482784
341,2016,1.0,0.5242793024982244
348,2016,1.0,0.3718778788866983
355,2016,0.4273504273504273,0.5003151882819833
374,2016,0.06605612395682339,0.23594243881193802
381,2016,0.4931664247701983,0.504284601636631
391,2016,0.3545502620066343,0.20398109090479263
411,2016,0.3697547575443905,0.440504453230301
428,2016,0.2525424830230367,0.22992337777048671
437,2016,0.73996244299383,0.5149749033755817
450,2016,0.6682109764789735,0.37817704300387955
465,2016,0.2550445724584044,0.2949996358761286
514,2016,0.5248418422855301,0.4615714339060616
521,2016,0.3693341920940343,0.4319371440933774
561,2016,1.0,0.541031070524385
564,2016,0.1205325017989926,0.4654872419497381
575,2016,0.7389253562235988,0.4605763776213832
582,2016,0.001168610320843978,0.22829498414416666
591,2016,0.2151639344262295,0.4169215574583594
595,2016,1.0,0.37913385681403705
603,2016,0.5994951619688684,0.5136672100146426
604,2016,0.1751436177665686,0.313402816313682
613,2016,0.2028146531692631,0.4005599741283529
618,2016,0.8928571428571429,0.38606957169341083
622,2016,0.9936124911284598,0.43415508356963206
628,2016,1.0,0.5011636709039246
632,2016,0.3827742775685474,0.207509593686068
655,2016,0.3350792454694815,0.38231457250003464
662,2016,0.06236407829090445,0.5937442175981331
683,2016,0.4376964022317706,0.373024137905371
705,2016,0.0498684322213734,0.21269986448922462
713,2016,0.06034796866460192,0.2135778507323167
722,2016,0.3611325115562403,0.360904017922757
729,2016,1.0,0.44632468023352817
741,2016,0.1588510806387901,0.45541027328218747
755,2016,0.2006911940785893,0.41173436098899047
760,2016,0.5724538619275462,0.3863695762681667
769,2016,0.969245192837972,0.344349257220502
777,2016,0.2653614813067579,0.3009242982989873
784,2016,0.4222386929918627,0.4066471104818612
789,2016,0.8150397646802484,0.34091898150552435
793,2016,0.05898025775252939,0.22165680723398193
