,year,actual,predicted
7,2016,1,1
25,2016,2,0
46,2016,1,0
56,2016,2,1
60,2016,2,2
69,2016,2,2
79,2016,2,0
84,2016,2,0
91,2016,2,2
109,2016,1,0
116,2016,0,2
123,2016,1,1
140,2016,2,2
155,2016,2,2
163,2016,0,1
169,2016,1,2
176,2016,1,0
187,2016,0,2
196,2016,2,1
210,2016,0,2
220,2016,2,0
227,2016,1,0
235,2016,2,0
242,2016,2,1
251,2016,2,1
256,2016,1,2
271,2016,1,1
279,2016,2,1
287,2016,1,0
295,2016,1,0
303,2016,1,2
310,2016,2,1
319,2016,2,0
333,2016,2,0
341,2016,2,2
348,2016,2,1
355,2016,1,0
374,2016,0,0
381,2016,1,2
391,2016,1,0
411,2016,1,1
428,2016,0,0
437,2016,1,0
450,2016,1,1
465,2016,0,1
514,2016,1,2
521,2016,1,0
561,2016,2,2
564,2016,0,0
575,2016,1,1
582,2016,0,0
591,2016,0,0
595,2016,2,0
603,2016,1,2
604,2016,0,0
613,2016,0,0
618,2016,2,1
622,2016,2,0
628,2016,2,2
632,2016,1,0
655,2016,1,0
662,2016,0,0
683,2016,1,1
705,2016,0,0
713,2016,0,0
722,2016,1,0
729,2016,2,0
741,2016,0,1
755,2016,0,0
760,2016,1,0
769,2016,2,0
777,2016,0,0
784,2016,1,1
789,2016,2,0
793,2016,0,0
805,2016,2,1
821,2016,2,2
828,2016,2,1
834,2016,2,0
849,2016,1,0
860,2016,0,0
869,2016,0,0
880,2016,0,0
900,2016,2,0
908,2016,1,2
923,2016,1,0
927,2016,0,0
932,2016,1,1
936,2016,0,0
944,2016,2,1
950,2016,0,0
969,2016,2,0
976,2016,1,0
989,2016,0,0
1002,2016,2,0
1009,2016,1,0
1015,2016,1,0
1023,2016,0,0
1062,2016,1,0
1067,2016,1,1
1072,2016,0,2
1076,2016,0,0
1078,2016,0,1
1082,2016,0,0
1083,2016,2,2
1087,2016,1,1
1092,2016,1,2
1096,2016,1,2
1097,2016,1,0
1101,2016,0,0
1103,2016,1,0
1104,2016,1,2
1107,2016,1,0
1109,2016,2,1
1113,2016,1,2
1117,2016,0,0
1119,2016,0,0
1122,2016,0,1
1124,2016,2,1
1127,2016,2,0
1128,2016,2,2
1133,2016,0,1
1136,2016,0,1
1140,2016,2,0
1143,2016,2,0
1146,2016,0,1
1151,2016,0,2
1154,2016,1,0
1156,2016,1,0
1157,2016,2,0
1162,2016,1,2
1165,2016,1,0
1169,2016,0,1
1171,2016,0,0
1172,2016,1,1
1174,2016,0,1
1176,2016,1,1
1177,2016,1,0
1179,2016,0,2
1180,2016,0,2
1183,2016,2,0
1184,2016,2,2
1188,2016,0,0
1190,2016,0,0
1191,2016,1,2
1196,2016,2,2
1199,2016,0,2
1202,2016,0,2
1205,2016,0,0
1209,2016,1,2
1212,2016,0,1
1214,2016,2,0
1215,2016,0,0
1216,2016,2,0
1217,2016,1,1
1221,2016,0,2
1226,2016,2,1
1227,2016,0,2
1229,2016,2,1
1232,2016,0,2
1234,2016,0,0
1235,2016,2,1
1237,2016,2,1
1241,2016,1,1
1245,2016,2,2
1249,2016,2,2
